State,District Name,Market
Andaman and Nicobar,Nicobar,Car Nicobar
Andaman and Nicobar,North and Middle Andaman,Diglipur
Andaman and Nicobar,North and Middle Andaman,Mayabandar
Andaman and Nicobar,South Andaman,Port Blair
Andhra Pradesh,Anantapur,Anantapur
Andhra Pradesh,Anantapur,Kadiri
Andhra Pradesh,Anantapur,Rayadurg
Andhra Pradesh,Anantapur,Dharmavaram
Andhra Pradesh,Anantapur,Kalyandurg
Andhra Pradesh,Anantapur,Tadipatri
Andhra Pradesh,Anantapur,Gooti
Andhra Pradesh,Anantapur,Madakasira
Andhra Pradesh,Anantapur,Tenakallu
Andhra Pradesh,Anantapur,Guntakal
Andhra Pradesh,Anantapur,Penukonda
Andhra Pradesh,Anantapur,Urvakonda
Andhra Pradesh,Anantapur,Hindupur
Andhra Pradesh,Chittor,Bangarupalem
Andhra Pradesh,Chittor,Nagalapuram
Andhra Pradesh,Chittor,Rompicherla
Andhra Pradesh,Chittor,Chittoor
Andhra Pradesh,Chittor,Nagari
Andhra Pradesh,Chittor,Somala
Andhra Pradesh,Chittor,Chittor(Rythu Bazar)
Andhra Pradesh,Chittor,Pakala
Andhra Pradesh,Chittor,Srikalahasti
Andhra Pradesh,Chittor,Kalikiri
Andhra Pradesh,Chittor,Palamaner
Andhra Pradesh,Chittor,Thottambedu
Andhra Pradesh,Chittor,Kuppam
Andhra Pradesh,Chittor,Piler
Andhra Pradesh,Chittor,Tirupati
Andhra Pradesh,Chittor,Madanapalli
Andhra Pradesh,Chittor,Punganur
Andhra Pradesh,Chittor,Vayalapadu
Andhra Pradesh,Chittor,Mulakalacheruvu
Andhra Pradesh,Chittor,Puttur
Andhra Pradesh,Chittor,Vepanjari
Andhra Pradesh,Cuddapah,Badvel
Andhra Pradesh,Cuddapah,Koduru
Andhra Pradesh,Cuddapah,Pulivendala
Andhra Pradesh,Cuddapah,Cuddapah
Andhra Pradesh,Cuddapah,Lakkireddipally
Andhra Pradesh,Cuddapah,Rajampet
Andhra Pradesh,Cuddapah,Dwarkanagar(Rythu Bazar)
Andhra Pradesh,Cuddapah,Mydukur
Andhra Pradesh,Cuddapah,Rayachoti
Andhra Pradesh,Cuddapah,Jammalamadugu
Andhra Pradesh,Cuddapah,Proddatur
Andhra Pradesh,Cuddapah,Siddavatam
Andhra Pradesh,Cuddapah,Kamalapuram
Andhra Pradesh,East Godavari,Alamuru
Andhra Pradesh,East Godavari,Kothapeta
Andhra Pradesh,East Godavari,Rajahmundry
Andhra Pradesh,East Godavari,Allavaram
Andhra Pradesh,East Godavari,Mummidivaram
Andhra Pradesh,East Godavari,Ramachandrapuram
Andhra Pradesh,East Godavari,Ambajipeta
Andhra Pradesh,East Godavari,Nagaram
Andhra Pradesh,East Godavari,Ravulapelem
Andhra Pradesh,East Godavari,Anaparthy
Andhra Pradesh,East Godavari,Peddapuram
Andhra Pradesh,East Godavari,Razole
Andhra Pradesh,East Godavari,Jaggampet
Andhra Pradesh,East Godavari,Peddapuram(Phase7)
Andhra Pradesh,East Godavari,Sampara
Andhra Pradesh,East Godavari,Kakinada
Andhra Pradesh,East Godavari,Pithapuram
Andhra Pradesh,East Godavari,Tellarevu
Andhra Pradesh,East Godavari,Kakinda(Rythu Bazar)
Andhra Pradesh,East Godavari,Prattipadu
Andhra Pradesh,East Godavari,Tuni
Andhra Pradesh,Guntur,Bapatla
Andhra Pradesh,Guntur,Kuchinapudi
Andhra Pradesh,Guntur,Repalli
Andhra Pradesh,Guntur,Chilakaluripet
Andhra Pradesh,Guntur,Macharla
Andhra Pradesh,Guntur,Sattenapalli
Andhra Pradesh,Guntur,Duggirala
Andhra Pradesh,Guntur,Narasaraopet
Andhra Pradesh,Guntur,Tadikonda
Andhra Pradesh,Guntur,Guntur
Andhra Pradesh,Guntur,Pidugurala
Andhra Pradesh,Guntur,Tenali
Andhra Pradesh,Guntur,Ipur
Andhra Pradesh,Guntur,Pidugurala(Palnadu)
Andhra Pradesh,Guntur,Vinukonda
Andhra Pradesh,Guntur,Krosuru
Andhra Pradesh,Guntur,Ponnur
Andhra Pradesh,Krishna,Divi
Andhra Pradesh,Krishna,Machilipatnam
Andhra Pradesh,Krishna,Pamarru
Andhra Pradesh,Krishna,Gannavaram
Andhra Pradesh,Krishna,Malleswaram
Andhra Pradesh,Krishna,Swarajmaidan(Rythu Bazar)
Andhra Pradesh,Krishna,Gudiwada
Andhra Pradesh,Krishna,Movva Hqs
Andhra Pradesh,Krishna,Tiruvuru
Andhra Pradesh,Krishna,Jaggayyapeta
Andhra Pradesh,Krishna,Mylavaram
Andhra Pradesh,Krishna,Vijayawada
Andhra Pradesh,Krishna,Kaikaluru
Andhra Pradesh,Krishna,Nandigama
Andhra Pradesh,Krishna,Vuyyur
Andhra Pradesh,Krishna,Kalidindi
Andhra Pradesh,Krishna,Nuzvid
Andhra Pradesh,Krishna,Vuyyuru(Rythu Bazar)
Andhra Pradesh,Krishna,Kanchekacherla
Andhra Pradesh,Kurnool,Adoni
Andhra Pradesh,Kurnool,Dhone
Andhra Pradesh,Kurnool,Nandikotkur
Andhra Pradesh,Kurnool,Allagadda
Andhra Pradesh,Kurnool,Koilkunta
Andhra Pradesh,Kurnool,Nandyal
Andhra Pradesh,Kurnool,Alur
Andhra Pradesh,Kurnool,Kurnool
Andhra Pradesh,Kurnool,Pattikonda
Andhra Pradesh,Kurnool,Atmakur
Andhra Pradesh,Kurnool,Kurnool(Rythu Bazar)
Andhra Pradesh,Kurnool,Yemmiganur
Andhra Pradesh,Kurnool,Banaganapalli
Andhra Pradesh,Nellore,Alluru
Andhra Pradesh,Nellore,Kovur
Andhra Pradesh,Nellore,Sullurpet
Andhra Pradesh,Nellore,Atmakur(SPS)
Andhra Pradesh,Nellore,Naidupet
Andhra Pradesh,Nellore,Udayagiri
Andhra Pradesh,Nellore,Gudur
Andhra Pradesh,Nellore,Nellore
Andhra Pradesh,Nellore,Vakadu
Andhra Pradesh,Nellore,Kavali
Andhra Pradesh,Nellore,Rapur
Andhra Pradesh,Nellore,Venkatagiri
Andhra Pradesh,Prakasam,Addanki
Andhra Pradesh,Prakasam,Kandukur
Andhra Pradesh,Prakasam,Martur
Andhra Pradesh,Prakasam,Chirala
Andhra Pradesh,Prakasam,Kanigiri
Andhra Pradesh,Prakasam,Ongole
Andhra Pradesh,Prakasam,Cumbum(AP)
Andhra Pradesh,Prakasam,Kondapi
Andhra Pradesh,Prakasam,Ongole(Rythu Bazar)
Andhra Pradesh,Prakasam,Darsi
Andhra Pradesh,Prakasam,Maddipadu
Andhra Pradesh,Prakasam,Parchur
Andhra Pradesh,Prakasam,Giddalur
Andhra Pradesh,Prakasam,Markapur
Andhra Pradesh,Prakasam,Podili
Andhra Pradesh,Srikakulam,Amadalavalasa
Andhra Pradesh,Srikakulam,Narasannapet
Andhra Pradesh,Srikakulam,Rajam
Andhra Pradesh,Srikakulam,Hiramandalam
Andhra Pradesh,Srikakulam,Palakonda
Andhra Pradesh,Srikakulam,Sompeta
Andhra Pradesh,Srikakulam,Ichapuram
Andhra Pradesh,Srikakulam,Pathapatnam
Andhra Pradesh,Srikakulam,Srikakulam
Andhra Pradesh,Srikakulam,Kanchili
Andhra Pradesh,Srikakulam,Ponduru
Andhra Pradesh,Srikakulam,Tekkali
Andhra Pradesh,Srikakulam,Kothabommali
Andhra Pradesh,Vijayanagaram,Bobbili
Andhra Pradesh,Vijayanagaram,Kurupam
Andhra Pradesh,Vijayanagaram,Saluru
Andhra Pradesh,Vijayanagaram,Chipurupalli
Andhra Pradesh,Vijayanagaram,Parvathipuram
Andhra Pradesh,Vijayanagaram,Vijayanagaram
Andhra Pradesh,Vijayanagaram,Gajapathinagaram
Andhra Pradesh,Vijayanagaram,Pusapatirega
Andhra Pradesh,Vijayanagaram,Vijayanagaram(Rythu Bazar)
Andhra Pradesh,Vijayanagaram,Kothavalasa
Andhra Pradesh,Visakhapatnam,Anakapally
Andhra Pradesh,Visakhapatnam,Chodavaram
