DATE,PRICE
2006-01-02,1080.0
2006-01-03,1080.0
2006-01-04,1105.0
2006-01-05,1100.0
2006-01-06,1095.0
2006-01-07,1100.0
2006-01-08,
2006-01-09,1110.0
2006-01-10,1110.0
2006-01-11,
2006-01-12,1115.0
2006-01-13,
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,1100.0
2006-01-18,1098.0
2006-01-19,1095.0
2006-01-20,1100.0
2006-01-21,1105.0
2006-01-22,
2006-01-23,1105.0
2006-01-24,1100.0
2006-01-25,1100.0
2006-01-26,
2006-01-27,1090.0
2006-01-28,1105.0
2006-01-29,
2006-01-30,1100.0
2006-01-31,1100.0
2006-02-01,1090.0
2006-02-02,
2006-02-03,1080.0
2006-02-04,
2006-02-05,
2006-02-06,1095.0
2006-02-07,1090.0
2006-02-08,1100.0
2006-02-09,
2006-02-10,1105.0
2006-02-11,1100.0
2006-02-12,
2006-02-13,
2006-02-14,1085.0
2006-02-15,1085.0
2006-02-16,1090.0
2006-02-17,1115.0
2006-02-18,1100.0
2006-02-19,
2006-02-20,1095.0
2006-02-21,1090.0
2006-02-22,1080.0
2006-02-23,
2006-02-24,1084.0
2006-02-25,1084.0
2006-02-26,
2006-02-27,
2006-02-28,1095.0
2006-03-01,1095.0
2006-03-02,
2006-03-03,
2006-03-04,
2006-03-05,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-11,
2006-03-12,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-18,
2006-03-19,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,1080.0
2006-03-24,1080.0
2006-03-25,1070.0
2006-03-26,
2006-03-27,1060.0
2006-03-28,1070.0
2006-03-29,1065.0
2006-05-01,1205.0
2006-05-02,1230.0
2006-05-03,1252.0
2006-05-04,1221.0
2006-05-05,1100.0
2006-05-06,1245.0
2006-05-07,
2006-05-08,1201.0
2006-05-09,1270.0
2006-05-10,1245.0
2006-05-11,1242.0
2006-05-12,
2006-05-13,
2006-05-14,
2006-05-15,1241.0
2006-05-16,
2006-05-17,1281.0
2006-05-18,1255.0
2006-05-19,1250.0
2006-05-20,1270.0
2006-05-21,
2006-05-22,1220.0
2006-05-23,1225.0
2006-05-24,1233.0
2006-05-25,1231.0
2006-05-26,1189.0
2006-05-27,1215.0
2006-05-28,
2006-05-29,1180.0
2006-05-30,1221.0
2006-05-31,1175.0
